"pitch_speed","pitch_spin","pitch_horizontal_movement","pitch_vertical_movement","plate_x","plate_z","pitcher_hand","launch_angle","launch_speed","stand","home_run"
92.8,2327,0.25,1.26,0.02,2.61,"L",0,89.3,"R",0
96.3,2241,0.9,1.86,0.49,2.25,"L",-21,82.9,"R",0
84.4,2043,1.59,1.3,0.73,2.69,"L",24,75.1,"R",0
82.8,1774,1.18,0.7,0.35,1.59,"L",8,74.3,"R",0
86.8,2199,-0.11,0.72,0.66,3.16,"R",35,55.4,"L",0
93.6,2274,-0.55,2.02,-1.27,2.57,"R",12,78,"R",0
91.2,2116.70891666667,1.69,0.72,0.32,2.26,"L",12.6662083333333,98.8060634920635,"R",0
88,2201,-1.36,0.75,-1.06,2.52,"R",-10,94.4,"L",0
82,2294,0.11,0.7,1.46,0.83,"R",-21,82.9,"R",0
88.9,1393,-0.95,0.61,0.14,2.18,"R",-21,74.4,"L",0
86.7,2031,-0.92,1.16,0.14,3.55,"R",11,93.1,"R",0
82.6,1811,-1.01,1.03,-0.34,3.44,"R",49,98.1,"L",0
82.2,1724,1.27,0.58,1.4,1.93,"L",4,81.6,"R",0
93,2238,-0.75,1.58,-0.66,2.85,"R",-11,102.2,"L",0
87.1,2267,0.38,1.02,0.54,2.83,"R",50,83,"L",0
97.5,2299,-0.16,1.92,-0.88,3.16,"R",8,42.7,"R",0
90.7,1756,1.39,0.95,0.83,3.24,"L",-9,84.3,"R",0
92.7,2077,-0.32,1.37,0.54,2.44,"R",19,103.9,"R",0
97.5,2192,-0.98,1.29,-0.32,3.47,"R",-3,86.9,"L",0
92.4,2438,-0.81,1.69,-0.41,2.29,"R",23,93.9,"R",0
90.9,1897,0.98,1.69,0.44,2.21,"L",14,102.3,"R",0
97.8,2586,-1.51,1.39,0.01,1.26,"R",24,102.5,"L",0
90.1,884,0.56,0.29,-0.13,2.66,"R",-15,92.9,"L",0
83.4,2002,1.25,1.25,0.3,1.59,"L",12,108.7,"R",0
91.5,1945,-0.21,1.62,-0.85,2.64,"L",37,82.8,"R",0
72.2,2580,1.19,-1.26,0.04,1.84,"R",25,90,"L",0
54.2,1568,0.48,0.86,-0.51,2.33,"R",-16,85,"L",0
87.4,2659,-0.15,0.68,0.24,2.71,"R",7,91.1,"L",0
91.8,2123,0.58,1.73,-0.4,1.82,"L",-28,66.8,"R",0
85.4,1810,-1.28,0.71,-0.75,1.85,"R",1,108.2,"L",0
95.5,2466,-1.32,1.16,0.09,2.37,"R",8,104.6,"R",0
91.7,2442,-1.24,1.1,-0.91,2.48,"R",18,59.8,"R",0
83.8,1438,1.07,1.15,0.22,2.51,"L",-8,93.1,"R",0
91.8,2258,-1.46,1.39,0.41,2.24,"R",-21,82.9,"R",0
93.1,1886,-1.22,0.37,-0.7,2.05,"R",-21,82.9,"L",0
99.2,2571,-1.36,1.51,0.07,3.25,"R",10,112.2,"R",0
83.8,2241,-0.03,0.65,-0.41,1.94,"L",-50,44.7,"L",0
95.1,2384,-0.71,1.98,0.42,3.54,"R",49,86.9,"L",0
82.8,2146.65662711864,-0.12,0.2,-0.44,2.25,"L",1,98.6,"L",0
96,2299,-0.78,1.62,-0.33,2.03,"R",-50,79.6,"L",0
91,1812,-1.17,0.8,-0.24,1.74,"R",-9,100.4,"L",0
92.4,2090,-0.57,1.25,-1.42,2.85,"R",-30,46.7,"R",0
95,2090,-1.34,0.49,-0.78,1.52,"R",-42,75.3,"R",0
80.5,1812,0.06,0.66,-0.99,1.38,"L",-29,74.1,"L",0
81.4,2607,1.01,0.13,0.08,1.05,"R",-4,94.3,"R",0
82.1,2132,0.44,0.3,-0.15,1.96,"L",3,95.8,"L",0
89,2294,0.4,0.59,-0.29,1.86,"R",28,92.4,"R",0
94,2145,-1.15,0.9,0.52,1.42,"R",-3,99.6,"L",0
96.8,2549,-0.75,1.7,-0.45,2.33,"R",6,103.9,"L",0
91.6,2209,1.21,1.11,0.33,1.66,"L",-1,94.6,"R",0
99.4,2500,-1.58,1.06,0.85,1.81,"R",-7,104.5,"L",0
92.7,2171,1.23,1.06,0.81,2.65,"L",-4,93.9,"R",0
94.7,2362,1.05,1.41,-0.08,1.53,"L",-2,104.5,"R",0
93.9,2265,1.41,1.09,-0.56,1.59,"L",-14,112.8,"R",0
89.9,2516,0.04,0.63,0.17,2.79,"R",-9,101.8,"R",0
81.3,2492,-0.36,0.39,-0.44,1.44,"L",47,82,"R",0
83.1,726,0.13,0.23,0.12,2.51,"R",37,97.3,"R",0
96.2,1696,-1.18,1.19,-0.04,1.82,"R",-31,93.9,"L",0
92.2,2533,-0.03,1.99,0.9,1.77,"R",22,40.1,"L",0
101.6,2300,-0.64,1.65,0.49,2.78,"R",31,57.8,"L",0
92,2236.39013480392,-0.85,1.38,0.84,2.46,"R",-2,82.3,"L",0
96.6,2543,-1.48,1.73,-0.12,2.42,"R",50,84.5,"L",0
78.1,2705,0.82,-0.88,-0.25,1.44,"R",15,101.6,"L",0
86.5,1813,-0.4,1.01,-0.63,2.38,"R",42,97.5,"L",0
93.8,2156,-0.82,1.07,0.42,1.97,"R",17,105.5,"R",0
84.3,1993,-0.18,0.96,-0.92,2.63,"L",7,53.9,"R",0
86.9,2294.85,-0.08,-0.07,0.29,2.55,"R",5,102.9,"R",0
84.2,2047,-1.29,0.89,-0.62,1.89,"R",4,90.2,"L",0
91.7,2191,1.37,0.67,0.42,2.2,"L",17,101.1,"R",0
92.2,2173,1.52,0.63,0.5,1.75,"L",15,100.2,"R",0
86.9,2365.92,0.16,0.49,0.35,2.53,"R",24,97.4,"L",0
91.7,2134,1.12,0.57,0.5,1.92,"L",-3,101.1,"R",0
94,2205,1.04,1.03,-0.59,2.45,"L",12,87.2,"R",0
80.8,2136,-0.53,1.78,-0.81,1.99,"R",44,96.6,"R",0
77.5,2262,-1.09,-0.19,-0.33,2.28,"L",3,90.3,"R",0
86.3,2393,-0.43,2.08,0.35,3.06,"R",56,87.3,"R",0
85.5,2170,0.07,1.62,-0.51,1.91,"L",8,99.1,"L",0
84.7,1764,-1.33,0.75,-0.7,1.78,"R",8,84.3,"L",0
94.8,2409,-0.92,0.71,0.11,2.51,"R",11,104.6,"L",0
90.9,2352,0.78,0.98,-0.81,2.77,"L",25,96.2,"R",0
87,1826,0.29,0.68,-0.94,1.87,"L",11,73.3,"L",0
94.6,2258,-0.41,1.25,-0.97,3.19,"R",-3,67,"R",0
89.6,2746,-0.29,0.77,-0.05,2.82,"R",21,101,"L",0
94.3,2283,-1,0.94,-0.62,2.51,"R",-22,84.7,"R",0
84.1,1250,-0.97,0.71,-0.25,1.86,"R",-11,67.1,"L",0
79.4,1637,0.44,0.75,0.42,2.86,"L",13,100.4,"R",0
86.3,2228.63333333333,0.47,0.36,0.34,2.46,"R",-10,80.4,"R",0
75.8,2397,-0.81,-0.65,-0.32,3.06,"L",10,99.9,"L",0
96.1,2170,-0.93,1.18,-0.37,2.27,"R",3,108.7,"L",0
96.2,2240,-0.16,1.75,0.66,3.42,"R",19,63.7,"L",0
77.6,680,-0.28,0.3,-0.06,2,"L",56,85.9,"L",0
75.2,1419,0.98,-1.13,-0.62,2.28,"R",-11,92,"L",0
86.7,1859,1.51,0.85,1.03,1.8,"L",-21,75.2,"R",0
93,2064,-0.56,1.75,0.74,1.74,"R",13,100.8,"R",0
85.8,2053.6725,0.3,0.84,0.21,1.35,"L",-17,80.8,"R",0
80.1,687,0.91,-0.03,-0.88,1.9,"R",30,93.7,"L",0
92.4,2337,-1.02,1.34,0.45,2.29,"R",-19,74.4,"R",0
92.7,2333,-0.75,1.21,0.14,2.53,"R",1,82.1,"R",0
94.7,2158,-1.09,1.43,-0.16,1.97,"R",-10,113.1,"R",0
89.8,2282,-0.61,1.48,0.27,2.54,"R",-19,86.6,"L",0
77.9,1388,-0.55,1.04,-0.7,2.05,"R",45,83.3,"L",0
95.2,2403,-1.02,2.1,0.41,2.11,"R",-21,82.9,"R",0
86.8,1727,-0.62,1.19,-0.48,1.99,"R",7,97.3,"L",0
94.2,2048,1.2,1.37,0.98,2.81,"L",44,71.7,"L",0
98.5,2404,1.33,1.94,-0.04,2.01,"L",-26,83.9,"L",0
93,2328,-0.24,1.64,-0.2,2.98,"R",69,80,"R",0
93.3,2257,-1.36,0.91,-0.17,1.11,"R",13,102.1,"R",0
90.2,2382,0.05,0.71,-0.31,0.84,"R",-21,82.9,"L",0
92.9,2080,-0.04,0.97,-0.49,1.5,"L",-6,99.7,"L",0
94.1,2502,-0.74,1.48,0.34,2.87,"R",1,72.7,"L",0
94.1,2315,1.07,1.07,0.11,1.93,"L",7,91.9,"L",0
96.4,2331,-0.86,1.76,0.07,2.5,"R",-9,104.3,"R",0
96.9,2032,-0.88,0.91,-0.61,2.14,"R",2,109.8,"R",0
94.2,2178.12266666667,-0.94,1.3,-0.42,2.56,"R",0,84.8,"R",0
93.6,2112,1.27,1.48,0.85,2.47,"L",3,70.3,"L",0
94,2444,-0.54,1.61,-0.49,2.53,"R",30,102.8,"R",1
80.2,2216,0.82,0.2,0.53,2.33,"R",-6,81.5,"R",0
92.7,2173,-0.16,2,-0.07,2.67,"R",16,107.3,"R",0
96.1,2463,0.18,1.49,-0.24,2.87,"L",39,89.3,"R",0
88.9,2057,-1.66,0.32,-0.95,2.27,"R",7,50.3,"R",0
94,2167,-0.57,1.5,0.41,2.2,"R",-12,97.3,"R",0
87,1196,0.48,0.52,-0.18,2.42,"R",7,98.2,"R",0
82.5,2154,1.23,0.8,1.28,1.82,"L",9,76.7,"R",0
80.6,1903,-0.99,0.95,0.71,1.07,"R",-21,82.9,"R",0
89.6,1872,-1.33,0.54,-0.43,3.28,"R",-75,40.2,"R",0
94.3,2290,-0.79,1.76,-0.18,2.57,"R",-44,44.3,"L",0
91.1,1917,-1.44,0.4,-0.38,2.65,"R",31,102.1,"L",0
90.7,2117,-0.77,1.52,0.19,2.04,"R",2,104.9,"L",0
71.6,1580,0.92,-0.38,-0.42,3.46,"R",69,80,"L",0
90.6,2175,-0.98,1.73,0.2,2.85,"R",44,99.2,"R",0
92.4,2390,-1.16,0.79,-0.82,1.88,"R",6,81.4,"R",0
98.9,2426,-0.46,1.87,0.52,1.96,"R",57,76.7,"L",0
89.9,2445.9862962963,0.14,0.33,0.63,2.27,"R",23,93.9,"R",0
90.4,2522,0.38,0.3,0.03,2.73,"R",29,74.2,"L",0
99.4,2392,-1.04,1.38,0.31,3.74,"R",33,101,"R",0
93.2,2162,0.58,1.6,-0.8,2.39,"L",28,97.7,"R",1
78.7,2166,-0.79,-1.09,-0.73,1.1,"R",-21,82.9,"L",0
92,2002,-1.05,1.41,-0.03,2.86,"R",-23,95.5,"L",0
89.7,1945,0.4,0.97,-0.37,1.18,"L",5,91.8,"R",0
85.6,557,0.29,-0.16,0.44,1.18,"R",-21,82.9,"R",0
94,2553,0.42,1.75,-0.43,2.93,"L",42,108.2,"L",0
92.8,2184,-0.94,1.77,0.33,1.37,"R",12,103.1,"L",0
89.6,2136,1.1,1.3,-0.09,2.18,"L",46,84.5,"R",0
95.9,2367,-1.1,1.06,0.59,2.35,"R",3,92.4,"L",0
93,2105,0.83,1.26,0.46,2.62,"L",34,87.6,"R",0
93,1988,-0.74,1.88,-0.26,2.84,"R",43,81.5,"R",0
93.3,2356,0.5,1.02,-0.18,1.98,"R",0,96.7,"R",0
93.2,2298.38662878788,0.5,1.68,-1.06,2.31,"L",28.1088888888889,94.048,"R",0
94.1,2342,-1.14,1.11,-0.36,1.61,"R",-5,97.5,"R",0
85.6,2347,0.01,0.91,1.3,2.26,"R",33,97.7,"L",1
87.7,2361,0.02,0.74,-0.26,2.92,"L",-27,75.4,"R",0
86,2478,0.37,0.24,0.19,1.95,"R",14,86.2,"L",0
82.6,2005,0.43,0.98,-0.43,2.52,"L",21,109.4,"R",0
96.5,2166,-1.13,1.43,-0.46,2.59,"R",-6,95.5,"L",0
97.2,2443,-0.97,1.57,0.89,1.91,"R",64,98.2,"L",0
91.9,2015,0.65,1.91,-0.65,2.6,"L",36,87.7,"L",0
93.7,2250,-1.23,1.23,-0.49,1.96,"R",-8,103.5,"R",0
86.2,1672,-1.25,1.13,-0.5,1.49,"R",-10,72.1,"L",0
89.2,2127,-1.65,0.95,0.08,3.28,"R",11,100.1,"R",0
81.6,1665,1.27,1.45,0.57,1.99,"L",-56,55.1,"R",0
86.1,2220,0.39,1.03,-0.42,2.51,"R",28.6775,101.8284,"R",0
81.7,1987,0.03,1.07,-0.05,2,"L",24.775,101.951,"R",0
89.7,2116,-1.34,1.42,0.1,2.74,"R",-7,92.6,"R",0
88,2208,1.44,0.94,0.76,2.81,"L",3,91,"R",0
89.6,2215,-1.32,1.7,0.83,3.31,"R",1,100.7,"R",0
91.3,2100,-0.33,1.83,-0.08,2.95,"R",-13,92.7,"L",0
86.2,1785,-1.49,0.54,-0.38,2.74,"R",51,90.5,"R",0
93.3,2275,-1.3,0.64,0.28,3.24,"R",-56,88.3,"R",0
94.7,2300,-0.55,0.91,0.01,2.34,"R",59,90.7,"R",0
83.4,1197,-0.53,0.14,-0.4,1.44,"L",-7,98.1,"R",0
87.5,2273.89,-0.11,0.58,0.38,2.1,"L",10,107.9,"L",0
92,2292,0.19,1.64,0.13,3.22,"L",15,94.9,"R",0
97.9,2182,-1.35,1.41,-0.31,1.89,"R",41,101.3,"R",0
91.6,2163,0.92,1.46,0.53,2.92,"L",3,105.4,"R",0
81.2,2199.46,-0.53,0.57,-0.19,2.09,"L",26.49,102.823,"R",0
88,2115,-0.09,0.87,0.27,2.87,"R",39,90.6,"R",0
93,2030,-0.47,1.72,0.71,3.61,"R",49,90.4,"R",0
90.2,2077,-1.31,0.99,-0.53,2.58,"R",33,101,"R",1
72.5,2815,1.25,-1.1,0.73,2.2,"R",19,107.7,"R",0
96.5,2349,-1.1,1.35,-0.03,2.96,"R",-1,99,"L",0
86.7,2386,0.79,0.75,0.2,2.7,"R",19,102.2,"R",0
91.4,2489,0.13,0.9,0.42,1.51,"R",-6,101.1,"R",0
94,2471,-1.58,1.51,0.23,2.09,"R",27,92.4,"R",0
82.1,2540,-0.5,0.48,-0.43,1.85,"R",-9,98.5,"L",0
91.9,2186,-0.82,1.18,0.32,2.4,"R",-1,79.2,"R",0
78.2,2204,0.42,-1,-0.57,2.46,"R",-9,91.6,"L",0
90.3,2509,-0.33,0.86,-1,2.58,"L",23,81.9,"R",0
87,2236,-0.36,1.26,0.74,2.8,"R",30,79.2,"R",0
92.2,2198,-0.53,1.4,1.08,3.21,"R",14,66.3,"L",0
89.3,2102,-1.35,1.04,0.12,3.16,"R",14,106.7,"R",0
77.2,2210.30542028986,-0.21,-0.21,0.01,2.81,"L",33,98.9,"R",1
87.9,2258,0.73,1.53,0.28,2.96,"L",12,103.3,"R",0
87.5,2142,-1.36,0.87,-0.36,2.48,"R",7,104.3,"L",0
97.6,2282,-0.42,1.14,-0.31,2.46,"R",-34,62.4,"L",0
88.9,2030,1.47,0.84,-0.54,1.56,"L",-22,106.7,"L",0
97.6,2226,-1.35,0.91,0.29,2.06,"R",-29,96.6,"R",0
87.7,1604,-1.29,1.23,-0.63,1.79,"R",4,76.6,"L",0
89.9,1223,-0.53,0.76,-0.68,2.51,"L",-7,89.2,"R",0
85.3,2360.76,0.03,-0.01,0.1,1.84,"R",-4,80.8,"R",0
97.5,2241,-0.41,1.58,0.85,3.46,"R",10,78.2,"R",0
94.2,1020,-0.53,1.53,0.83,2.41,"R",-21,82.9,"L",0
94.1,2165,-1.06,1.12,-0.03,2.46,"R",-14,101.2,"R",0
93.4,2403,-1.43,1.46,0.14,2.64,"R",37,95.4,"L",0
83.5,1883,-0.79,1.38,-0.5,1.92,"R",36,99.8,"L",0
96.6,2181.39861702128,-0.88,0.8,-0.35,2.13,"R",5,92.4,"L",0
84.2,2289,0.61,-0.86,0.25,2.11,"R",62,81.3,"R",0
97.8,2388.77947236058,-0.83,1.56,0.4,2.87,"R",42,90,"R",0
86.8,1920,1.63,0.76,0.05,1.93,"L",39,89.2,"R",0
95.2,2080,0.59,1.03,-0.09,2.18,"L",-17,90.3,"R",0
97.3,2394,-0.96,1.46,-0.24,1.84,"R",46,98.1,"R",0
78.2,1222,-1.04,1.09,-0.35,2.97,"R",-47,52.4,"R",0
84.9,2141.43,-0.01,0.39,-0.41,2.77,"R",-35,82.7,"L",0
91,2582,-0.46,1.37,0.52,2.5,"R",-10,69.7,"L",0
80.5,2242,0.05,-0.26,0,2.65,"L",2,97.7,"L",0
94.2,2335,-0.88,1.53,0.33,2.93,"R",-7,101.7,"L",0
89.9,2419,-0.59,1.06,0.32,2.13,"R",-12,73.2,"R",0
92.9,2141,0.67,1.43,0.52,3.52,"L",21,82.1,"L",0
85.9,2016,-1.11,1.02,-1.17,2.86,"R",51,84.6,"R",0
91.2,2034,1.16,1.05,0.56,3.25,"L",-14,100.6,"R",0
79.3,2536,-0.7,0.29,-0.13,1.37,"L",43,86.9,"L",0
92.9,2168,-0.67,1.62,1.38,2.49,"R",18,96.3,"R",0
85,2188.59666666667,0,0.25,0.27,2.62,"R",34,86.8,"R",0
91.8,2048,1.15,1.83,-0.65,2.51,"L",-19,89,"L",0
84.4,1554,-1.65,0.38,-0.72,2.48,"R",0,81.3,"R",0
94.6,2180,-0.65,1.66,0.21,3.14,"R",-4,100.1,"R",0
90.8,2215,-1.43,1.13,0.41,2.76,"R",-12,92.6,"R",0
92.9,2222,-0.98,1.27,0.16,3.22,"R",-34,86.9,"R",0
92,2157,0.12,1.21,-0.28,2.61,"R",12,96.3,"R",0
85.1,943,0.05,0.11,0.38,2.26,"R",43,93.6,"L",0
94.9,1958,1.36,0.91,-0.14,2.6,"L",16,105.7,"R",0
92.8,2094,-1.29,0.9,-0.31,1.84,"R",-12,88.9,"L",0
78.3,1565,0.47,1.39,1.05,2.75,"L",20,61.7,"R",0
94.1,2392,-1.07,1.49,-0.76,2.63,"R",19,85.9,"L",0
91,2465,-0.2,0.44,0.35,2.74,"R",-10,98.1,"R",0
87.3,2273.36,-0.43,0.43,0.66,2.51,"R",11,88.1,"R",0
91.2,2156,-1.03,1.15,-0.26,1.37,"R",-21,82.9,"R",0
86.3,2005,1.43,1.25,0.35,1.52,"L",21,81.9,"R",0
94.4,2129,-0.53,1.3,-0.29,2.73,"R",5,104.9,"R",0
93.7,2292,-1.42,0.71,-0.61,2.7,"R",69,80,"R",0
84,2928,1.12,-1.05,-0.04,3.16,"R",-1,98.3,"R",0
84.3,2443,0.39,0.42,0.35,1.8,"R",1,84.5,"R",0
76.3,2491,0.94,-0.7,0.55,2.1,"R",-20,62.2,"R",0
96.8,2369,0.8,1.26,0.07,2.41,"L",-25,92.2,"L",0
91.4,2338,-0.97,1.43,-0.5,2.48,"R",26.717,103.091962864721,"L",0
84.5,2529,0.18,0.43,1.21,1.06,"R",-4,66.3,"R",0
95.3,2088,-0.74,1.51,-0.04,2.45,"R",12,97.7,"L",0
94.9,2245,-1.42,1.09,-0.44,3.89,"R",4,90.7,"L",0
91.7,2125,-1.24,1.03,-0.7,2.92,"R",38,94.7,"L",0
93.2,1832,-1.19,0.58,-0.05,1.37,"R",-27,82.3,"R",0
81.6,1698,1.9,1.19,0.5,2.66,"L",23,90.7,"R",0
75.3,1891,0.49,0.24,0.38,1.55,"L",-29,53.6,"R",0
89,2359,-1.19,1.87,-0.09,2.77,"R",27,100.5,"R",0
88.4,1037,-0.05,0.85,0.62,1.93,"R",-21,82.9,"R",0
96.2,2046,-1.62,0.67,0.51,2.78,"R",4,87.5,"L",0
96.8,2189,-1.02,1.48,-1.7,2.76,"R",-43,38.7,"R",0
95.1,2053,-1.09,1.07,-0.58,2.8,"R",9,107.2,"R",0
87.3,2188,-0.45,0.35,0.1,1.48,"R",33,103.9,"L",0
88.2,2198,0.39,1.8,-0.48,2.5,"L",-5,71.2,"L",0
99.5,2241,-0.6,1.12,-0.34,2.33,"R",19,108.6,"L",0
96.7,2567,-1.42,1.46,0.27,1.56,"R",15,108.6,"R",0
89.4,2010,-0.27,1.74,0.2,2.35,"R",5,107.4,"R",0
91.6,2138,-1.05,1.4,0.29,2.11,"R",-44,68.5,"R",0
96.1,2326,-1.3,0.71,-0.77,1.62,"R",-7,99.3,"R",0
92.8,2539,0.74,1.44,-0.75,1.48,"L",3,92.9,"L",0
94.5,2263,0.65,1.55,0.57,2.87,"L",36,85.9,"L",0
95,2309,1.21,1.02,-0.43,2.9,"L",44,95.4,"R",0
90.1,2154,0.17,0.92,0.31,2.36,"L",-5,95.6,"R",0
91.7,2437,-1.29,1.2,-0.96,3.14,"R",16,92.4,"L",0
87.8,1926,1.6,0.48,0.13,2.68,"L",69,80,"R",0
89.8,2152,1.16,1.11,0.94,3.16,"L",23,101,"R",1
86.3,1619,0.92,0.44,-0.32,2.17,"L",3,99.9,"L",0
83.8,1378,1.63,0.42,0.8,3.15,"L",-13,79,"R",0
87.9,2491,-0.11,0.47,0.14,2.42,"R",54,91.8,"R",0
91.7,2278,-0.94,1.7,0.5,2.98,"R",20,107.9,"R",0
90.1,2045,1.06,1.37,-0.15,1.67,"L",22,105.9,"R",0
89.1,2118,-0.82,0.85,-0.34,2.55,"R",-14,93.2,"L",0
92.8,2029,1.3,1.43,-0.29,2.27,"L",12,106.5,"R",0
87.9,2100,0.07,0.42,-0.21,2.96,"R",62,86.9,"R",0
94.7,2182,-1.21,1.2,-0.44,2.04,"R",1,97,"R",0
93.6,2559,-1.18,1.84,1.12,2.65,"R",22,60,"L",0
92.6,2212,-1.29,1.1,0.48,2.39,"R",15,102.3,"R",0
93.4,2060,-0.91,1.53,0.06,2.29,"R",-12,105.4,"R",0
83.6,2513,0.11,1.19,0.7,1.42,"R",-21,82.9,"R",0
93.2,2131,0.66,1.35,0.08,1.78,"L",24,98.7,"R",0
94.1,2194,-1.7,0.78,0.38,2.75,"R",47,87.2,"R",0
81.9,2231.4,0.7,0.47,-0.44,2.42,"R",52,80.6,"L",0
97.5,2377.69,-1.01,1.67,0.05,2.12,"R",25.23,102.128711389252,"L",0
89.7,2268,0.2,0.93,0.51,2.55,"R",-27,66.6,"R",0
73.4,2305,1.1,-1.19,0.64,2.94,"R",13,89.6,"L",0
83.9,1617,0.06,-0.02,0.12,3.27,"L",-10,82.6,"L",0
93.2,2225,-0.7,1.38,0.01,1.35,"R",11,94.2,"R",0
97.1,2465,-0.81,1.33,-1.53,2.65,"R",29,45.9,"R",0
87.9,2125,-0.87,0.88,0.09,2.85,"R",36,91.7,"R",0
90.4,2351,-1.06,0.85,-0.76,1.37,"R",-4,76.7,"L",0
92.9,2055,-1.42,1.11,-0.06,2.12,"R",-7,93.8,"L",0
91.8,1935,-0.83,1.53,-0.71,2.85,"R",13,105.6,"L",0
95,2150,0.59,1.68,0.7,2.82,"L",8,77.9,"L",0
95.9,2218,-0.59,1.76,0.47,2,"R",-23,103.4,"R",0
92.3,2373,-0.28,1.97,0.68,2.56,"R",40,84.3,"L",0
83.5,2297.72404761905,0.49,0.05,-0.94,2.57,"R",19,102.4,"L",0
83,2331,-0.1,-0.42,-0.47,2.38,"L",18,91.1,"R",0
97.5,2363,-1.21,1.34,-0.1,2.1,"R",10,98.3,"R",0
86.5,2247,-0.01,0.66,0.95,1.82,"R",18,81.4,"R",0
93,2160,1.34,0.82,0.31,1.93,"L",-19,78.3,"R",0
83.8,2370.13875,0.57,-0.43,-0.14,1.93,"R",-56,55.9,"R",0
78.3,2512.55585174276,0.96,-0.98,-0.65,0.91,"R",32,82.6,"L",0
94.4,2379,-0.3,1.68,0.09,1.91,"R",-4,104,"L",0
93.1,2145,-0.58,1,0.17,3.32,"R",38,96.6,"R",0
90.9,2386,0.34,1.91,0.01,1.98,"L",10,93.9,"L",0
93.7,1965,1.39,1.24,-0.42,2.5,"L",-7,98.6,"R",0
96,2235,-0.92,1.45,0.76,2.63,"R",-13,97.9,"L",0
96.3,2328,-0.74,1.78,0.62,2.09,"R",10,80.8,"R",0
81.8,2217,0.77,0.09,0.34,1.14,"R",18,90,"L",0
92,2509,1.3,1.62,0.47,2.9,"L",31,91.6,"R",0
85.6,2407.56888888889,0.62,0.14,-0.64,2.65,"R",45,58,"R",0
92.9,2165,0.55,1.52,-0.86,2.69,"L",-15,64.6,"R",0
75.8,2348,0.26,0.37,0.18,1.94,"R",33,99.8,"R",1
93.6,2267,-1.45,0.87,-0.71,2.16,"R",-22,70.1,"L",0
93.2,2153,-1.29,0.9,-1.22,2.65,"R",4,45.2,"R",0
92.2,2168,-1.36,0.81,-1.14,2.47,"R",-27,74.6,"L",0
85.6,2763,0.78,-0.36,0.68,1.94,"R",-5,81.6,"R",0
85.7,1542,-1.28,-0.03,-0.1,2.57,"R",6,94.4,"R",0
92.4,2349,1.39,1.15,0.41,2.37,"L",-21,82.9,"L",0
98.2,2256,-1.18,1.55,-0.34,1.63,"R",-13,104.4,"R",0
87.7,2318,1.23,1.35,0.08,2.06,"L",30,105.3,"R",1
94.9,1948,-1.49,1.15,-0.04,2.21,"R",37,81.2,"L",0
93.4,1893,1.07,0.73,-0.65,2.3,"L",7,93.8,"R",0
100.2,2236,-0.99,2.04,0.24,1.85,"R",23,102.7,"R",0
96.6,2063,-1,1.17,0.05,2.86,"R",69,80,"L",0
82,2115,0.16,1.23,-0.3,2.87,"L",32,102,"R",1
84.8,1544,0.98,0.09,1.16,1.74,"L",-31,64.2,"R",0
92.4,2302,-0.98,1.54,-0.01,1.85,"R",22,92.5,"L",0
75.6,2677,1.13,-1.49,0.4,1.59,"R",69,80,"L",0
81.7,1861,1.1,0.02,0.91,2.33,"L",18,79.4,"R",0
94.7,2057,-1.62,0.7,-0.7,1.1,"R",-28,75.6,"L",0
92.6,1870,-1.61,1.16,0.04,2.3,"R",22,95.5,"R",0
83.6,1903,-1,1.37,-0.49,2.34,"R",25,95.5,"R",0
91.7,1730,-1.26,0.07,-0.66,2.28,"R",-21,82.9,"L",0
87.5,2547,0.39,0.82,-0.56,2.07,"R",12,101.7,"L",0
94.3,2230,0.05,1.38,-1.35,2.57,"L",2,76.5,"R",0
76.1,1543,0.68,1.3,0.8,2.38,"L",26,98.3,"R",0
88.6,2238,-1.85,0.6,-0.24,2.21,"R",21,98.2,"L",0
93.3,2242,0.5,1.57,-0.48,1.75,"L",-21,84.3,"R",0
97.5,2383,1.05,1.74,0.28,2.25,"L",36,96.7,"L",0
89,2242,0.03,0.51,-0.42,2.07,"L",28,93.7,"L",0
96.4,2377,-0.91,1.14,-0.43,2.36,"R",-4,93.1,"R",0
90.2,2112,1.58,0.9,-0.68,2.53,"L",-11,76.7,"R",0
90.9,2361,-1.1,1.26,-0.8,2.7,"R",0,78.6,"L",0
84.3,2223.18692622951,0.18,0.22,-1.15,2.17,"R",31,62.7,"R",0
78.9,2705,-0.89,-0.06,0.43,1.48,"L",11,94.8,"R",0
97.5,2016,-1.55,0.76,-1.1,2.96,"R",3,75.7,"R",0
86.1,2473,0.22,0.83,0.39,2.56,"R",-10,75.9,"R",0
91.8,2167,-1.1,1.79,0.1,3.08,"R",27,98,"R",0
89.2,1654,0.78,0.88,-0.35,1.99,"L",18.4933333333333,101.76025,"R",0
77.4,2592,0.91,-0.37,-0.8,2.25,"R",41,72.5,"R",0
92,2228,-1.47,1.3,-1.02,2.96,"R",10,103.7,"L",0
85.1,2403,0.05,0.65,0.27,2.38,"R",-1,106.8,"R",0
78.6,2317,-1.49,0.07,-0.73,2.38,"L",69,80,"L",0
93.7,2183,-1.19,1.17,-0.11,2.71,"R",21,95.4,"L",0
82.1,1132,-0.46,-0.36,0.5,2.05,"R",8,108,"R",0
88.8,2255,-1.37,0.76,0.04,3.41,"R",25,94.5,"R",0
94,2275.03,-0.15,1.3,0.34,2.08,"L",24.27,103.498210717246,"R",0
