"pitch_speed","pitch_spin","pitch_horizontal_movement","pitch_vertical_movement","plate_x","plate_z","pitcher_hand","launch_angle","launch_speed","stand","home_run"
92.2,2129.5529047619,-0.76,1.09,0.43,2.54,"R",24.9533333333333,103.807917237453,"R",0
90.4,2144,-1.37,1.16,-0.11,2.71,"R",26,91.5,"L",0
96.8,2163,-0.78,1.43,-1.64,2.26,"R",54,89.2,"R",0
96.7,2086,-0.82,1.14,-1.08,3.5,"R",-16,34.5,"L",0
86.5,1117,0.19,0.63,0.64,2.39,"R",32,78.5,"R",0
95,2314,-0.73,1.58,0.12,2.61,"R",25,104.8,"L",0
95.2,2211,-1.13,0.95,-0.3,2.39,"R",-21,82.9,"R",0
93.4,2107,-1.05,1.87,-0.52,2.96,"R",13,69.9,"R",0
82.6,1725,-1.62,1.18,-0.26,2.23,"R",11,99.5,"R",0
91.9,2064,-1.05,0.74,-0.9,2.31,"R",-28,80.4,"L",0
90.4,2019,-1.1,1.27,-0.89,2.21,"R",-45,66.5,"R",0
89.9,2319,-1.58,1.18,0.11,1.8,"R",-3,95,"L",0
90.5,2318,0.28,1.01,0.2,2.5,"R",2,101.4,"L",0
88.5,2264,0.45,0.9,0.29,2.63,"R",69,80,"L",0
92.5,2229,-0.69,1.38,0.33,1.84,"R",17,109.1,"L",0
78.3,2544,0.64,-0.99,-0.47,2.26,"R",69,80,"R",0
88.6,2349,0.22,1.03,0.88,2.49,"R",-8,79.4,"R",0
92.7,2263,-1.26,1.36,0.44,2.46,"R",2,102.4,"R",0
80.9,2013,0.31,0.22,-0.36,2.31,"L",22,92.8,"L",0
81.3,1679,-1.66,1.17,-0.52,2.89,"R",61,82.1,"L",0
93.2,2280,-0.65,1.63,0.19,3.19,"R",60,89.4,"R",0
85.3,1682,-1.36,1.61,-0.3,2.43,"R",69,80,"R",0
90.1,2171,-1.16,1.45,-0.12,3.36,"R",23,102,"L",0
88.7,1975,-1.46,0.97,-1.12,2.81,"R",30,87.3,"R",0
95.7,1821,-1.01,1.38,-0.4,1.42,"R",-14,92,"R",0
82.3,1369,-1.02,1.2,-0.4,3.21,"R",-17,66.8,"L",0
85,1664,-1.28,0.8,-0.89,1.8,"R",-17,90.3,"L",0
89.4,2044,-1.33,1.16,-0.6,1.79,"R",-21,82.9,"R",0
92,2007,-1.12,1.41,-0.22,2.41,"R",8,105.5,"R",0
93.1,2133,0.78,1.32,-0.53,2.58,"L",8,87.5,"R",0
85.1,1348,0.63,1.54,1.45,2.69,"L",27,75.2,"R",0
89.9,2090,-0.83,1.44,-0.21,3.47,"R",42,104.1,"R",0
94.6,2218,-1.33,1.13,-0.85,2.6,"R",1,81.9,"R",0
94.1,2229,-1.55,1.36,-0.48,2.76,"R",22,86.2,"R",0
94.6,2365,-0.51,1.42,-0.34,2.95,"R",22,93.5,"R",0
87,2835,0.74,0.44,-0.45,2.83,"R",3,95.3,"L",0
87,2214,0.17,0.44,-0.17,1.15,"R",50,78.2,"R",0
89.9,2239,-1.87,-0.2,-0.75,2.09,"R",32,80.3,"L",0
94.8,2245,-1.1,0.7,-0.23,2.4,"R",-21,82.9,"L",0
92.9,2069,-1.56,0.76,-1.01,2.13,"R",-21,82.9,"L",0
93,2465,1.62,1.13,-0.16,1.96,"L",24,99.2,"R",0
95,2106,-0.85,1.17,-0.16,3.28,"R",-30,90.2,"R",0
91.6,2320,1.12,1.6,0.01,1.8,"L",46,89,"R",0
96.3,2185,-0.26,1.39,0.8,2.6,"R",-14,93.7,"R",0
91.6,2021,-1.2,1.06,-0.45,1.85,"R",0,102.7,"L",0
96.1,2320,-1.16,1.26,0.63,2.23,"R",-10,74.3,"R",0
95.3,2074,-1.64,1.01,-0.65,2.35,"R",7,91.3,"L",0
91.1,2426,-1.24,1.25,-0.35,2.32,"R",54,86,"R",0
74.5,2983,1.59,-0.53,-0.09,2.16,"R",-15,66.6,"L",0
93.8,2036,-0.53,1.77,0.67,2.67,"R",18,91.7,"L",0
91.4,1875,-0.73,1.73,1.12,2.85,"R",11,85.4,"L",0
91,2117,1.07,1.25,0.72,2.77,"L",69,80,"L",0
80.5,2315,-0.16,0.85,-0.51,2.23,"L",44,94.3,"R",0
92.5,2158,-1.11,1.41,-0.68,2.45,"R",-8,103.8,"L",0
91.3,1794,-1.19,0.92,-0.82,1.86,"R",-17,90.3,"L",0
92.3,2258,0.72,1.37,-0.63,2.21,"L",25,85.5,"L",0
75.5,3035,1.24,-0.94,-0.06,2.53,"R",-23,77.1,"R",0
82.5,1580,1.37,1.49,-0.41,2,"L",-7,66.3,"R",0
92.9,2208,-0.43,1.44,-0.47,2.9,"R",54,93.2,"R",0
91.3,2186,-1.24,1.51,0.21,2,"R",18,83.9,"L",0
95.3,1543,-1.09,1.39,0.66,2.66,"R",29,90.7,"R",0
87,1698,-1.55,0.54,-0.62,1.21,"R",-20,60.7,"L",0
88.3,2067,-0.92,1.67,0.77,2.26,"R",12,81.9,"R",0
85.2,2465,0.2,0.81,0.8,2.72,"R",12,92.4,"R",0
66.6,2357.92007784999,0.73,-0.95,-0.45,1.62,"R",20.1,95.2049999999999,"L",0
82.8,1645,-1.07,0.75,-0.41,2.83,"R",19,97.5,"L",0
79.4,2442,0.45,-0.75,-1.05,2.53,"R",27,79.3,"L",0
97.2,2256,-0.64,2.06,-1.07,1.63,"R",-21,82.9,"L",0
78.7,1855,-0.68,1.55,0.3,2.21,"R",22,94.3,"R",0
81.4,2673,1.46,-0.62,-0.03,2.09,"R",13,109.7,"L",0
90.8,2226.69,-0.44,0.89,0.34,1.49,"R",15.08,99.6044166666667,"L",0
85.4,1875,-0.07,1.56,0.19,2.98,"R",26,63.5,"L",0
93.6,2302,0.49,1.45,-0.01,3.27,"R",-3,84.4,"L",0
81.4,2074.95,-0.14,-0.07,0.08,2.14,"R",26.76,103.5045,"R",0
93.1,2134,1.19,1.58,0.57,2.46,"L",40,83.5,"R",0
94.3,2338,-0.16,1.28,-0.44,2.72,"R",50,100.9,"L",0
94,2200.92977777778,-1.32,1.22,-0.13,3.94,"R",20.0603137254902,94.028,"R",0
74.1,1520.0465224359,-1.09,0.67,-0.54,2.37,"R",27.3397093023256,100.60575,"L",0
85.4,2310.82666666667,-0.17,0.48,-0.04,2.32,"R",7,101.4,"R",0
93.2,2285.33424242424,0.57,2.05,-0.66,1.65,"L",21.3,99.3833333333333,"R",0
81.3,2191,-0.2,-0.2,0.07,2.53,"L",38,82.4,"L",0
86.3,1850.93333926641,1.29,1.2,1.72,2.19,"L",3.7,77.4830000000001,"R",0
95.8,2337,-0.69,1.7,0.11,2.48,"R",20,101.3,"R",0
94.5,2160,-1.66,1.43,0.05,3.06,"R",-24,100,"R",0
92.5,2162,-0.56,0.11,0.25,2.57,"R",31,112.1,"R",1
91.4,2138,1.15,1.03,0.04,1.62,"L",69,80,"L",0
91.7,1822,-1.3,0.75,-0.93,2.86,"R",-38,65,"L",0
87.7,2518,-0.2,1.05,-1,2.05,"L",-26,70.1,"R",0
83.7,2271.61189189189,0.22,0.63,-0.1,1.77,"R",26.04,102.27925,"R",0
89.8,2075.5,-0.99,1.51,-0.7,2.54,"R",22.36,102.664333333333,"L",0
88.6,1906,-1.58,0.11,-0.43,2.29,"R",-1,78.4,"L",0
74.1,913,0.86,-0.78,1,1,"R",24,65.8,"R",0
82.7,2274,0.7,0.76,1.55,2.52,"R",-24,82.8,"R",0
96.1,2242,-0.84,1.62,0.38,2.38,"R",69,80,"L",0
92.2,2378,-1.09,1.58,-0.19,3.02,"R",33,92.2,"L",0
88.9,2363,-1.5,1.32,-0.83,2.92,"R",5,85.5,"R",0
92.5,2209,0.09,1.34,0.88,3.45,"R",10,77.4,"L",0
93.3,2179,-0.51,1.5,-0.14,3.08,"R",49,94.6,"R",0
91.1,887,-1.28,1.42,-0.55,3.42,"R",7,108.1,"R",0
82.5,2018,-0.03,0.75,0.86,2.54,"R",13,99.5,"R",0
90.3,2214,0.77,1.44,-1.16,3.01,"L",19,54,"R",0
96.5,2185,-0.88,1.46,0.53,2.71,"R",31,94.8,"R",0
89.9,1999,-1.49,0.83,-1.35,2.42,"R",14.83625,81.774,"R",0
84.6,1786,1.09,1.42,-0.2,2,"L",22,114.2,"R",1
79.8,1588,-1.1,0.76,-0.21,2.33,"R",23,105.8,"R",1
89.5,1966,-1.21,0.99,-0.57,1.92,"R",5,86.7,"L",0
88.2,2185,-0.41,1.37,0.6,1.69,"R",-30,65.3,"R",0
90.7,1898,-0.01,1.68,1.25,3.12,"R",-21,82.9,"R",0
90.8,2013,-1.24,0.93,-0.74,1.71,"R",-33,69.6,"L",0
95,2238,-1.45,1.38,-0.34,2.86,"R",-21,82.9,"R",0
91.8,2035,0.05,1.98,-0.3,2.58,"R",19,86.5,"L",0
98.2,2458,-0.74,1.79,0.67,2.41,"R",25,99.6,"R",0
93.1,2294,-1.51,1.6,0.32,1.65,"R",-15,95.1,"R",0
93.4,2469,-0.3,1.72,-0.35,2.13,"R",25,95.7,"R",0
88.2,2232,0.25,1.25,0.6,3.34,"R",69,80,"R",0
78,2348,1.19,0.3,1.07,2.41,"R",28,46.1,"L",0
84.2,1663.11860576923,-1.23,0.42,0.27,2.19,"R",24.4259615384615,103.032,"L",0
91.6,2399,-0.97,1.64,-0.61,2.94,"R",69,80,"R",0
93.6,2256,-0.17,1.92,-0.05,1.98,"R",-8,97.7,"L",0
94.2,2323,-0.02,1.71,0.08,0.84,"R",8,77.3,"R",0
77.7,2241,0.52,-1.25,-0.22,2.43,"R",11,103.2,"L",0
94.3,2257,-1.57,1.16,-0.01,2.36,"R",53,85.6,"L",0
91,2260,-0.65,2.09,-0.81,1.9,"R",10,100.2,"L",0
89.3,1994,-1.11,0.69,-0.61,3.75,"R",-3,78.3,"R",0
80.8,2338,-0.91,0.2,-0.9,2.3,"L",30,78.4,"R",0
95.8,2164.86822580645,-1,0.4,-0.32,2.23,"R",17.4836738816739,102.950125,"R",0
93,2155,-1.23,1.58,-1.01,2.43,"R",-21,82.9,"R",0
93,2227,-1.07,0.91,-0.82,2.39,"R",-21,81.6,"R",0
91.3,2083,0.38,1.41,-0.18,2.15,"L",31,92.4,"R",0
97.5,2241,-1.88,0.54,-0.41,1.53,"R",-3,90.5,"L",0
90,1926,-0.7,1.65,-0.84,2.32,"R",1,83.1,"L",0
97.1,2244,-0.62,1.49,0.72,3.18,"R",13,105.6,"R",0
92.4,2287.64726681327,-0.92,1.85,0.41,2.66,"R",39,89.2,"L",0
95.4,2150,-1.29,1.63,0.31,2.5,"R",33,96.1,"R",1
91.4,2508,-0.47,1.33,0.56,3.99,"R",6,93.9,"R",0
99.4,2348,-1.15,1.89,0.35,2.47,"R",-12,79.5,"L",0
85.3,1830.8538900135,-1.17,1.26,-0.84,1.98,"R",13.5547368421053,87.8167356107661,"L",0
83.7,1991.87785714286,-0.12,0.31,-0.26,2.52,"R",-22,56.8,"L",0
89,2040,-0.33,1.96,0.81,2.92,"R",42,89.8,"R",0
98,2218,-0.98,1.35,1.3,2.54,"R",34,80.2,"R",0
80.2,2559,0.59,0.18,0.2,1.61,"R",4,76.7,"R",0
91.4,2214,-0.89,1.13,0.19,2.07,"R",-6,107.1,"L",0
90.5,2072,-1.62,0.4,-0.73,2.67,"R",6,114,"R",0
89.6,2363,-0.25,1.16,0.16,2.17,"R",28,105.9,"L",1
85.8,2191,-1.38,1.05,-0.39,2.28,"R",36,84.9,"R",0
93.7,2016,-0.61,1.49,0.14,3.71,"R",1,83.9,"L",0
81.2,1326,-1.11,0.43,-0.4,2.79,"R",69,80,"L",0
79.5,2102,0.63,-0.06,1.06,2.04,"R",8,84.9,"R",0
89.7,1914,-0.91,1.33,-0.74,2.3,"R",40,77.6,"L",0
88.1,1751,-0.94,0.38,-0.7,2.2,"R",-5,97.7,"L",0
92.1,1924,-1.03,1.14,0.21,2.42,"R",19,87.4,"L",0
95.1,2315,-0.15,1.8,-0.21,3.15,"L",1,107.8,"R",0
76.8,2275.18,0.14,-0.39,0.5,1.86,"R",28.105,99.296,"L",0
92.6,1846,-1.07,0.82,-0.08,3.04,"R",-9,95.1,"L",0
83.6,1938,0.16,2.05,0.29,3.26,"R",55,62.8,"L",0
86.9,1690,-1.46,0.88,-0.48,1.53,"R",35,78.8,"L",0
89.1,1707,-1.27,0.88,-0.16,1.39,"R",-21,82.9,"L",0
92.5,2585,-0.35,2,0.15,2.46,"R",69,80,"L",0
89.8,2261,-0.45,1.1,0.02,1.96,"R",12,101.6,"L",0
78.7,2590,0.45,0.51,0.14,2.11,"R",6,102.6,"R",0
93,2224,-0.91,1.23,-0.15,2.6,"R",24,107.2,"R",1
90.7,1595,-1.17,0.66,-0.44,1.47,"R",-32,89.7,"R",0
89.4,1137,-0.37,1.08,0.12,2.69,"R",43,99.6,"L",0
83.8,2146,0.22,0.93,0.15,2.81,"R",69,80,"R",0
98,2160,0.92,1.1,-0.26,1.94,"L",-10,105.7,"R",0
85.5,2293,-0.44,0.48,-0.29,3.06,"L",17,96.6,"R",0
95.3,2313,-1.38,0.39,0.33,3.3,"R",22.3361212121212,101.255,"L",0
89.9,1930,-0.98,1.32,-0.12,1.62,"R",-16,72.5,"R",0
95,2278,-0.93,0.75,-0.53,2.88,"R",26,93.8,"R",0
92.9,2219.1384516129,-0.07,1.29,-0.72,1.59,"R",9.39,93.684,"L",0
88.5,2520,-1.31,1.42,-0.04,2.6,"R",37,87.9,"L",0
90.9,2110,-1.65,0.97,0.03,2.5,"R",-7,91.3,"R",0
94.6,2042,1.06,1.51,-0.1,2.5,"L",17,106.9,"R",0
90.9,2002,1.24,1.01,0.25,2.8,"L",18,102,"R",0
92.4,2315,0.2,1.29,1.1,2.56,"L",26,85,"R",0
92.6,2357,-0.79,1.8,-0.07,2.66,"R",35,94,"R",0
88,2169,0.87,1.8,0.06,2.39,"L",26.74,101.852831550802,"L",0
80.6,2126,-0.75,1.41,-1.01,2.06,"R",59,61.5,"L",0
90.7,2174,-1.46,0.6,-0.17,1.58,"R",2,103.6,"L",0
87.1,2014,0.58,1.66,-0.65,3,"L",27,101.6,"R",1
81.3,2735,0.48,-0.37,-0.03,1.71,"R",-30,72.5,"R",0
80.7,2382,0.22,-0.16,-0.4,1.55,"R",-29,76.3,"L",0
92.9,2403.01,0.43,0.32,0.16,1.66,"R",-4,81.4,"R",0
92.3,2081,-1.97,0.74,0.09,2.54,"R",17,96.6,"R",0
73.7,2518,0.65,-0.35,0.07,3.05,"R",53,83.3,"R",0
93.9,2291,-1.1,1.1,0.65,1.82,"R",-16,99.4,"R",0
93,2288,1.36,1.78,0.57,2.33,"L",17,104.3,"L",0
87.4,2208,-0.59,1.74,0.36,3.34,"R",69,80,"L",0
76,1202,0.95,-0.49,0.09,2.34,"R",5,104,"L",0
74.6,2043,0.36,-0.73,0.01,3.28,"R",-1,101.8,"R",0
86.3,1889,1.09,0.88,0.56,1.38,"L",-21,82.9,"R",0
76.7,2788,-0.84,-0.68,-0.2,2.73,"L",20,110.3,"R",1
82.5,2465,0.79,0.12,0.13,2.05,"R",-4,88.5,"L",0
86.7,2177,-0.22,1.03,0.72,2.95,"L",27,95.5,"R",1
86.9,2186.74416666667,-0.95,1.52,0.36,2,"R",4,100.1,"R",0
94.5,2378,-0.68,1.63,0.62,2.08,"R",67,75.1,"L",0
88.4,2253,-1.2,1.32,-0.59,1.54,"R",-12,74.9,"R",0
80.9,2113.49833333333,0.63,0.28,-1.22,1.43,"R",-38,57.3,"L",0
81.3,1764,-1.19,0.62,-0.15,2.76,"R",43,79.8,"L",0
85.7,1204,-0.39,-0.11,-0.4,2.21,"L",20,106.3,"L",0
88,1864,1.02,0.52,0.18,2.1,"L",45,48.1,"L",0
88.6,1781,-1.12,0.76,-0.61,2.77,"R",37,91.4,"L",0
93.3,2038,0.52,1.36,-0.57,2.1,"L",-7,83.7,"R",0
94.2,2483,1.74,0.74,0.7,2,"L",22,94.7,"R",0
95.2,2260,-0.58,1.45,0.16,2.91,"R",32,102,"R",1
75.6,2029,0.95,0.16,-0.68,1.13,"R",-20,61.1,"L",0
95.8,2127,1.08,0.64,-0.09,2.73,"L",16,88.4,"R",0
93.6,2167,-0.94,1.77,-0.56,2.47,"R",-12,93.2,"R",0
80,2480,0.96,1.05,-0.62,2.87,"R",10,98.4,"R",0
92.3,2472,0.74,1.42,0.16,2.43,"L",16,96.5,"L",0
96.5,2060,-1.1,0.6,-0.66,1.63,"R",11,88.3,"L",0
78.6,2459,-0.83,-0.41,-0.7,2.52,"L",-22,71.8,"L",0
93.1,2565,-1.74,1.2,-0.31,2.31,"R",2,84.2,"R",0
92.8,2444,-1.03,1.85,-1.76,3.16,"R",-13,66.8,"L",0
93.3,2239,0.79,1.86,-0.68,1.74,"L",29,89.1,"R",0
95.1,2290,-0.45,1.66,-0.64,2.09,"R",6,104,"R",0
84.2,2249.37522522523,0.19,0.62,0.52,2.68,"R",27.02,102.057833333333,"R",0
88.2,2026.74633333333,-1.32,0.67,-0.06,2.23,"R",23.7649150560725,103.381,"R",0
90.7,2083,-1.09,0.81,-0.57,2.61,"R",-21,71.5,"R",0
93.1,1962,-1.36,0.98,0.56,2.73,"R",-6,93.1,"L",0
79.7,2320.49,0.2,-0.17,-0.19,2.71,"R",28.5,102.042333333333,"R",0
91.1,2234.16496587031,-0.92,1.45,-0.05,1.61,"R",21.9957142857143,103.010990291262,"R",0
91.2,2251.78444444444,0.59,1.99,0.56,2.01,"L",21.7175,99.7047852597001,"R",0
91.1,2165,-1.06,0.76,0.2,1.68,"R",-45,57.1,"R",0
89.5,2068,-0.26,0.44,0.14,2.05,"R",-15,96.3,"R",0
91,2264,-1.25,1.29,-0.85,3.04,"R",14,71.3,"R",0
82.1,1911,-0.38,1.22,-0.54,2.77,"R",-38,76.6,"R",0
92.5,1981,-1.22,0.96,-0.64,1.99,"R",5,101.9,"R",0
91.7,2142,-0.94,1.48,-0.87,3.79,"R",50,52.5,"R",0
88.5,2121,-1.2,1.16,-0.5,2.47,"R",4,102.7,"R",0
91.7,1990,-0.9,1.69,0.37,3.1,"R",23,87.6,"L",0
91.1,2123,0.2,1.68,-0.65,2.29,"L",42,87.6,"R",0
86.4,1989,-1.44,0.64,-0.49,2.57,"R",15,102.9,"R",0
82.8,1673,-1.05,0.86,-0.23,1.54,"R",10,101.9,"L",0
88.5,1032,-1.59,0.64,-0.44,1.96,"R",-4,94.1,"R",0
90.8,2064,1.01,1.55,0.45,2.65,"L",20,96.5,"L",0
93,2170.13,-1.21,0.98,-0.13,2.48,"R",25.8983333333333,102.741981314045,"L",0
85.8,2469,0.14,-0.33,-0.04,2.02,"R",28,92.7,"L",1
82.9,2557,0.08,0.34,0.42,2.44,"R",23,80.7,"R",0
78.2,2310,1.32,-0.29,-0.22,2.17,"R",42,93,"R",0
91,2385,-1.26,1.53,-0.06,2.93,"R",38,101.8,"R",1
93.6,2202,-0.23,1.85,-0.17,3.08,"R",51,86.5,"L",0
94.1,2121,-0.88,1.2,-1.03,2.17,"R",23,98.4,"R",0
94.3,2171,-1.62,0.93,-0.8,2.32,"R",-17,90.3,"L",0
92.1,2281.7695,-1.16,1.41,-0.4,3.19,"R",26.0235203366059,103.374089248743,"L",0
95.3,2267,1.3,1.73,0.71,2.07,"L",-5,83,"L",0
91.1,2288,-0.68,1.31,-0.91,3.25,"R",34,85.9,"R",0
86.7,2291,-0.69,1.21,-1.04,3.43,"R",62,82.4,"R",0
92.5,2181,0.79,1.63,-0.7,2.34,"L",15,72.5,"R",0
93.7,2033,-1.19,1.68,0.4,2.03,"R",-7,97.1,"R",0
85,2138,0.27,0.87,0.37,1.78,"R",-26,87.6,"L",0
80.9,2399,0.93,0.58,0.39,2.66,"R",4,55.6,"R",0
93.2,2470,-0.32,1.18,0.03,2.76,"R",25,104.3,"L",0
94.8,2082,0.68,1.56,0.74,2.13,"L",19,103,"L",0
83.7,1152,-0.87,0.92,0.15,2.35,"R",11,106.9,"L",0
83,1606,-0.91,1.1,0.61,2.27,"R",12,74.6,"R",0
93.6,2457,-0.54,1.09,0.2,2.68,"R",21,98.4,"R",0
96.9,2100,-1.43,1.04,-1.26,2.93,"R",27,74.3,"R",0
83.2,2234,0.67,-0.06,-0.67,2.72,"R",-6,97.8,"R",0
88.1,2374.86818181818,0.58,0.62,0.02,2.66,"R",22,95.3,"R",0
89.5,2008,-0.34,1,0.33,2.5,"R",36,93.4,"L",0
90.2,1915,-0.64,1.46,0.2,2.59,"R",33,96.1,"L",0
84,2314,0.38,0.13,0.07,2.39,"R",48,87.5,"R",0
85,2437,0.33,-0.01,0.33,1.55,"R",-21,82.9,"R",0
92.3,2367,0.99,1.79,-0.33,3.27,"L",20,96.1,"R",0
75,2789,1.5,-0.84,0.06,0.42,"R",-17,90.3,"R",0
81.2,1920.5875,0.35,0.51,0.37,3.1,"R",-25,100.3,"R",0
91.3,2125,-1.36,0.78,-0.42,1.75,"R",5,88.6,"L",0
91.5,2319,-0.59,1.67,0.03,2.62,"R",-30,91.9,"R",0
80.6,1737,-1.28,0.66,-0.48,1.8,"R",-1,92.2,"R",0
86.4,2031,0.47,1.05,0.95,1.38,"L",8,56.5,"R",0
88.7,2297.1425,0.07,0.62,-0.27,3.37,"R",26.9366666666667,102.0766,"R",0
82.4,2304,0.45,0.01,0.42,2.23,"R",19,67.6,"R",0
86.8,2077,-1.19,1.42,0.25,2.88,"R",-19,41,"R",0
81.6,1790,-0.82,1.17,0.3,1.67,"R",69,80,"R",0
